_	mod	_	_	_	PART	_	_
_	mod_ass	_	_	_	PART	_	_
_	mod_emo	_	_	_	PART	_	_
_	n	_	_	_	NOUN	_	_
_	np	_	_	_	PROPN	_	_
_	num	_	nummod	_	NUM	NumType=Card	_
_	num	_	compound	_	NUM	NumType=Card	_
_	num	_	root	_	NUM	NumType=Card	_
_	num	_	_	_	NUM	NumType=Card,Ord	_
_	post	_	_	_	ADP	_	_
_	postadv	_	_	_	ADV	_	_
_	prn	_	_	_	PRON	_	_
_	qst	_	_	_	PART	_	_
_	rpar	_	_	_	PUNCT	_	_
_	rquot	_	_	_	PUNCT	_	_
_	sent	_	_	_	PUNCT	_	_
_	sym	_	_	_	SYM	_	_
_	v	_	_	_	VERB	_	_
_	vaux	_	_	_	AUX	_	_
_	x	_	_	_	X	_	_
